
Epoch 0 --> 0/50, i=  10/1200, -4.00dB/90Hz, Tr_BER=0.500170, L_CE=0.653263, Now=13:56:22
Epoch 0 --> 0/50, i=  20/1200, -4.00dB/90Hz, Tr_BER=0.497954, L_CE=0.647783, Now=13:56:22
Epoch 0 --> 0/50, i=  30/1200, -4.00dB/90Hz, Tr_BER=0.497615, L_CE=0.643568, Now=13:56:23
Epoch 0 --> 0/50, i=  40/1200, -4.00dB/90Hz, Tr_BER=0.497178, L_CE=0.638774, Now=13:56:23
Epoch 0 --> 0/50, i=  50/1200, -5.00dB/90Hz, Tr_BER=0.497578, L_CE=0.632667, Now=13:56:23
Epoch 0 --> 0/50, i=  60/1200, -3.00dB/90Hz, Tr_BER=0.498696, L_CE=0.623618, Now=13:56:24
Epoch 0 --> 0/50, i=  70/1200, -4.00dB/90Hz, Tr_BER=0.500359, L_CE=0.612452, Now=13:56:24
Epoch 0 --> 0/50, i=  80/1200, -3.00dB/90Hz, Tr_BER=0.501567, L_CE=0.599528, Now=13:56:25
Epoch 0 --> 0/50, i=  90/1200, -4.00dB/90Hz, Tr_BER=0.503154, L_CE=0.586304, Now=13:56:25
Epoch 0 --> 0/50, i= 100/1200, -4.00dB/90Hz, Tr_BER=0.504676, L_CE=0.571845, Now=13:56:26
Epoch 0 --> 0/50, i= 110/1200, -3.00dB/90Hz, Tr_BER=0.506241, L_CE=0.558193, Now=13:56:26
Epoch 0 --> 0/50, i= 120/1200, -5.00dB/90Hz, Tr_BER=0.507532, L_CE=0.546073, Now=13:56:26
Epoch 0 --> 0/50, i= 130/1200, -4.00dB/90Hz, Tr_BER=0.508535, L_CE=0.535085, Now=13:56:27
Epoch 0 --> 0/50, i= 140/1200, -3.00dB/90Hz, Tr_BER=0.509541, L_CE=0.525617, Now=13:56:27
Epoch 0 --> 0/50, i= 150/1200, -3.00dB/90Hz, Tr_BER=0.510283, L_CE=0.516876, Now=13:56:28
Epoch 0 --> 0/50, i= 160/1200, -4.00dB/90Hz, Tr_BER=0.510908, L_CE=0.509114, Now=13:56:28
Epoch 0 --> 0/50, i= 170/1200, -4.00dB/90Hz, Tr_BER=0.511533, L_CE=0.502333, Now=13:56:28
Epoch 0 --> 0/50, i= 180/1200, -3.00dB/90Hz, Tr_BER=0.512106, L_CE=0.496266, Now=13:56:29
Epoch 0 --> 0/50, i= 190/1200, -4.00dB/90Hz, Tr_BER=0.512641, L_CE=0.490878, Now=13:56:29
Epoch 0 --> 0/50, i= 200/1200, -3.00dB/90Hz, Tr_BER=0.513190, L_CE=0.485908, Now=13:56:30
Epoch 0 --> 0/50, i= 210/1200, -5.00dB/90Hz, Tr_BER=0.513631, L_CE=0.481432, Now=13:56:30
Epoch 0 --> 0/50, i= 220/1200, -4.00dB/90Hz, Tr_BER=0.513957, L_CE=0.477410, Now=13:56:31
Epoch 0 --> 0/50, i= 230/1200, -3.00dB/90Hz, Tr_BER=0.514207, L_CE=0.473416, Now=13:56:31
Epoch 0 --> 0/50, i= 240/1200, -3.00dB/90Hz, Tr_BER=0.514562, L_CE=0.469693, Now=13:56:32
Epoch 0 --> 0/50, i= 250/1200, -4.00dB/90Hz, Tr_BER=0.514809, L_CE=0.466231, Now=13:56:32
Epoch 0 --> 0/50, i= 260/1200, -3.00dB/90Hz, Tr_BER=0.515006, L_CE=0.462949, Now=13:56:33
Epoch 0 --> 0/50, i= 270/1200, -3.00dB/90Hz, Tr_BER=0.515335, L_CE=0.460233, Now=13:56:33
Epoch 0 --> 0/50, i= 280/1200, -3.00dB/90Hz, Tr_BER=0.515521, L_CE=0.457591, Now=13:56:34
Epoch 0 --> 0/50, i= 290/1200, -4.00dB/90Hz, Tr_BER=0.515729, L_CE=0.455099, Now=13:56:34
Epoch 0 --> 0/50, i= 300/1200, -4.00dB/90Hz, Tr_BER=0.515900, L_CE=0.452626, Now=13:56:34
Epoch 0 --> 0/50, i= 310/1200, -4.00dB/90Hz, Tr_BER=0.516062, L_CE=0.450322, Now=13:56:35
Epoch 0 --> 0/50, i= 320/1200, -3.00dB/90Hz, Tr_BER=0.516240, L_CE=0.448301, Now=13:56:35
Epoch 0 --> 0/50, i= 330/1200, -5.00dB/90Hz, Tr_BER=0.516267, L_CE=0.446228, Now=13:56:36
Epoch 0 --> 0/50, i= 340/1200, -3.00dB/90Hz, Tr_BER=0.516497, L_CE=0.444529, Now=13:56:36
Epoch 0 --> 0/50, i= 350/1200, -4.00dB/90Hz, Tr_BER=0.516531, L_CE=0.442602, Now=13:56:37
Epoch 0 --> 0/50, i= 360/1200, -5.00dB/90Hz, Tr_BER=0.516746, L_CE=0.441019, Now=13:56:37
Epoch 0 --> 0/50, i= 370/1200, -3.00dB/90Hz, Tr_BER=0.516813, L_CE=0.439343, Now=13:56:38
Epoch 0 --> 0/50, i= 380/1200, -3.00dB/90Hz, Tr_BER=0.516989, L_CE=0.437907, Now=13:56:38
Epoch 0 --> 0/50, i= 390/1200, -3.00dB/90Hz, Tr_BER=0.517132, L_CE=0.436538, Now=13:56:39
Epoch 0 --> 0/50, i= 400/1200, -5.00dB/90Hz, Tr_BER=0.517316, L_CE=0.435275, Now=13:56:39
Epoch 0 --> 0/50, i= 410/1200, -3.00dB/90Hz, Tr_BER=0.517371, L_CE=0.433969, Now=13:56:40
Epoch 0 --> 0/50, i= 420/1200, -3.00dB/90Hz, Tr_BER=0.517502, L_CE=0.432771, Now=13:56:40
Epoch 0 --> 0/50, i= 430/1200, -3.00dB/90Hz, Tr_BER=0.517523, L_CE=0.431469, Now=13:56:40
Epoch 0 --> 0/50, i= 440/1200, -3.00dB/90Hz, Tr_BER=0.517662, L_CE=0.430369, Now=13:56:41
Epoch 0 --> 0/50, i= 450/1200, -3.00dB/90Hz, Tr_BER=0.517703, L_CE=0.429191, Now=13:56:41
